project,city,state
community renewal project,rochester,ny
colonial corners,boyertown,pa
community renewal prog,springfield,oh
buttermilk bts-n ave,atlanta,ga
jornaleros,juana diaz,pr
central bus dist no 1,fresno,ca
neighborhood dev prog,lawrence,ks
central,sheffield,al
kramor (fs),scotch plains twp,nj
perry st,trenton,nj
neighborhood dev prog,monroe,la
east poplar no 2,philadelphia,pa
schmierers subdivision,southwest fargo,nd
university hospital,augusta,ga
community renewal prog,new orleaans,la
interim asst proj,pass christian,ms
wyandotte gnrp,kansas city,ks
mountain view morngsde,knoxville,tn
neighborhood dev prog,jeffersonville,in
cecil ave,glen cove,ny
adams-musser tns proj 1,lancaster,pa
dwight,new haven,ct
central hughestown (gn),hughestown,pa
saint anthony west,minneapolis,mn
dewey b,waco,tx
project no 2,lansing,mi
neighborhood dev prog,santa fe,nm
borinquen,caguas,pr
community renewal prog,framingham,ma
church st-eight ave,decatur,al
graham st,athens,tn
downtown gn,anaconda,mt
greenburgh town,greenburgh,ny
code enforcement proj,gulfport,ms
neighborhood dev prog,peoria,il
central bus dist (fs),belvidere,nj
slater,pawtucket,ri
mercer-jackson,trenton,nj
riverside improvement,riverside,ny
northside (gn),west point,ms
code enforcement proj,seattle,wa
southside,raleigh,nc
neighborhood dev prog,jackson,tn
neighborhood dev prog,grand island,ne
lycoming college no 1,williamsport,pa
community renewal prog,cincinnati,oh
neighborhood dev prog,hopewell,va
tortuguero,bayamon,pr
florence center,florence,al
fountain square,cincinnati,oh
harlem,new york,ny
jefferson,waco,tx
code enforcement proj,corpus christi,tx
east liberty (gn),pittsburgh,pa
demolition project,haverhill,ma
neighborhood dev prog,long beach,ca
north broadway-bayshore,coos bay,or
central bus dist (fs),cincinnati,oh
new town,paris,ky
community renewal prog,ozark,al
east side,jasper,al
code enforcement proj,mountlake terrace,wa
neighborhood dev prog,williston,nd
butchertown,san francisco,ca
woods run,pittsburgh,pa
c-west area,chester,pa
delta plaza (gn),yazoo city,ms
interim asst prog,kansas city,mo
west valdosta (gn),valdosta,ga
south central,torrington,ct
community renewal prog,texarkana,tx
central commerce,clarksville,ar
wilkinsburg project,wilkinsburg,pa
community renewal prog,austin,tx
pulaski pike,huntsville,al
fayette st,phillipsburg,nj
downtown,dubuque,ia
jubillee,pittsfield,ma
la playa no 1,arecibo,pr
neighborhood dev prog,newport,tn
bishop st,new brunswick,nj
neighborhood dev prog,chapel hill,nc
cunningham park,university city,mo
wilmington center,wilmington,ma
neighborhood dev prog,fort scott,ks
neighborhood dev prog,winston-salem,nc
lower feltonville,chester twp,pa
west end,atlanta,ga
olde towne,portsmouth,va
shirley st,winthrop,ma
tyrone disaster proj,tyrone borough,pa
area no 1,spartanburg,sc
code enforcement proj,ponce,pr
scribner school area,new albany,in
community renewal prog,duluth,mn
spring creek,springdale,ar
east side,searcy,ar
moropo,aguada,pr
northwest,rock island,il
code enforcement proj,lowell,ma
project a,gary,in
quincy-union sts,springfield,ma
downtown (gn),tulsa,ok
university city no 2,detroit,mi
neighborhood dev prog,benton twp,mi
suffolk-faulkner,malden,ma
neighborhood dev prog,yonkers,ny
downtown,dover,oh
community renewal prog,new britain,ct
harrison ave,chambersburg,pa
community renewal prog,enterprise,al
east hazlewood,rahway,nj
tremont street,lynn,ma
project no 1,campbell,oh
community renewal project,holyoke,ma
swan creek,sitka,ak
neighborhood dev prog,cohoes,ny
ridge street,hastings on hudson,ny
columbia plaza,washington,dc
neighborhood dev prog,wailuku,hi
southside,portsmouth,va
neighborhood dev prog,el reno,ok
bay st (gn),brunswick,ga
ohio state univ north,columbus,oh
central area (gn),port jervis,ny
saint michaels,newark,nj
mack-concord conserv no 1,detroit,mi
neighborhood dev prog,central falls,ri
maple city,hornell,ny
watterson model town,louisville,ky
gravier community imp,new orleaans,la
midtown park,gloversville,ny
avondale-1 corryville,cincinnati,oh
crosstown accelaeration,meriden,ct
community renewal prog,lancaster,pa
lagoon st,frederiksted,vi
elmwood park no 3,detroit,mi
college overlook,la junta,co
code enforcement proj,stockton,ca
sheridan park ur area,wichita,ks
union-broadway,long branch,nj
pulaski park,passaic,nj
indian trail no 1,jefferson county,ky
medical center,newark,nj
residential area (gn),aguadilla,pr
rainbow center no 1,niagara falls,ny
westside industrial,covington,ky
community renewal prog,hampton,va
burnet st,new brunswick,nj
pueblo center,tuscon,ar
certified area prog,new orleaans,la
neighborhood dev prog,mount vernon,il
northern cent sec (gn),ponce,pr
neighborhood dev prog,indianapolis,in
university add-first hill,seattle,wa
lower toms river,dover twp,nj
downtown,toccoa,ga
san jose (open land),rio piedras,pr
community renewal prog,jasper,al
earlington high school,earlington,ky
project a,savannah,ga
code enforcement proj,memphis,tn
community renewal prog,dover,nh
hanna creighton no 1,fort wayne,in
atlantic city,norfolk,va
king st,chambersburg,pa
el placer,humacao,pr
westbank no 2,tulsa,ok
monocacy creek,bethlehem,pa
second waterfront,gloucester,ma
twelfth st,pottsville,pa
downtown (gn),gloversville,ny
plaza,mckees rocks,pa
neighborhood dev prog,minot,nd
central ward,newark,nj
area a,galesburg,il
civic center,jamestown,nd
neighborhood dev prog,frankfort,ky
east-west develop no 2,mount airy,nc
neighborhood dev prog,ventura city,ca
capitiol hill,juneau,ak
neighborhood dev prog,johnstown,pa
downtown,richmond,ca
south commons,tuscumbia,al
clipper city,manitowoc,wi
code enforcement proj,university city,mo
downtown,fall river,ma
vinegar hill,charlottesville,va
interim asst prog,los angeles,ca
neighborhood dev prog,lewiston,id
west downtown,louisville,ky
demonstration project,woodbridge twp,nj
community renewal prog,woburn,ma
civic area,asheville,nc
southern city,rock hill,sc
bergen-lanning no 1,camden,nj
neighborhood dev prog,erie,pa
neighborhood dev prog,elyria,oh
central bus dist no 2,detroit,mi
cultural center no 3,new orleaans,la
central loop no 1,nashville,tn
dead mans gulch dis,sturgis,sd
downtown center,lees summit,mo
keyser valley,scranton,pa
brooklyn sec 2 (fs),charlotte,nc
medical center no 3,detroit,mi
code enforcement proj,ottumwa,ia
south seattle,seattle,wa
community renewal prog,miami,fl
central,staunton,va
demolition project,dunmore,pa
demolition project,dayton,oh
downtown,williamsburg,ky
kenduskeag stream,bangor,me
central eugene,eugene,or
interim asst prog,shickshinny,pa
rose garden,north las vegas,nv
peach-sassafras,erie,pa
state-51st st,chicago,il
fillmore ave,kilkwood,mo
central no 1,savannah,ga
neighborhood dev proj,bridgeport,ct
c and o railroad mc,pikeville,ky
downtown area,ithaca,ny
neighborhood dev prog,scranton,pa
huntington sta (gn),huntington,ny
hill-water,newton,nj
downtown 19th street,bessemer,al
englewood ave,englewood,nj
central bus dist,bristol,va
central (gn),mount holly twp,nj
memorial center,lubbock,tx
east downtown,louisville,ky
certified area prog,muskegon,mi
mattapan,boston,ma
area no 3-c,baltimore,md
central bus dist,dayton,oh
central bus dist (fs),guin,al
jalisco,toa baja,pr
lower rogers village,killingly,ct
cathedral parkway,new york,ny
proj job opportunity,zanesville,oh
georgia state,atlanta,ga
north end,newport news,va
third ave,kingston,pa
emory grove,montgomery county,md
community renewal prog,hammond,in
myrtle st,nashua,nh
fourth st bus area,milan,il
southend,beaver falls,pa
columbus circle,new york,ny
city center,oakland,ca
central bus dist,portland,tn
university,athens,ga
demolition project,washington,dc
demonstration project,san juan,pr
community renewal prog,hackensack,nj
brooklyn square,jamestown,ny
washington square,new castle,pa
community renewal prog,east cleveland,oh
neighborhood dev prog,milledgeville,ga
community renewal prog,chesapeake,va
neighborhood dev prog,tulsa,ok
the acorn,oakland,ca
neighborhood dev prog,rock island,il
temple univ unit 5,philadelphia,pa
code enforcement proj,center line,mi
demolition project,cambridge,md
southdale,west fargo,nd
neighborhood dev prog,oceanport,nj
downtown,miami,ok
porter st,waterbury,ct
demonstration project,calexico,ca
indiana harbor,east chicago,in
cultural center no 2,new orleaans,la
north main st,hazard,ky
crooked creek,harrison,ar
tybee,macon,ga
lincoln ave (gn),aurora,il
central city (gn),florence,al
internal revenue serv,covington,ky
old town harbor,beaufort,nc
community renewal prog,lansing,mi
indio centre,indio,ca
community renewal prog,statesville,nc
bunker hill,los angeles,ca
black diamond (gn),pittsburg,ca
pearl ave,cleveland,ms
palo de pan,ponce,pr
newark plaza,newark,nj
wyandotte,hamtramck,mi
neighborhood dev prog,colorado springs,co
valle hermosa,mission,tx
code enforcement proj,islip twn,ny
columbus,pittsfield,ma
edgehill (gn),nashville,tn
lomita no 1 (gn),mission,tx
genesee crossroads so,rochester,ny
university of md no 3,baltimore,md
17th st,richmond,va
