project,city,state
jersey shore dis area,jersey shore,pa
medical center no 1,detroit,mi
central bus dist (gn),hartford,vt
demolition project,tacoma,wa
shickshinny dis area,shickshinny,pa
sun city no 1,alma,ga
water st,coaldale,pa
industrial park,wilkes barre,pa
neighborhood dev center,sinton,tx
myrtle - walnut bch no 2,milford,ct
rehabilitation no 1,detroit,mi
central bus dist no 1a,oklahoma city,ok
west end,saint louis,mo
certified area prog,bay st louis,ms
civic-cultural fs,east point,ga
medical center no 2,detroit,mi
el duque,naguabo,pr
blair redevelopment,clairton,pa
civic center,wichita,ks
west federal,youngstown,oh
grandel,saint louis,mo
cameron,lawton,ok
elmwood park no 2,detroit,mi
southside project 1,glasgow,ky
troup ward consrvn,savannah,ga
capitol mall ext,sacramento,ca
code enforcement proj,san bernardino,ca
community renewal prog,scranton,pa
central west no 2 (gn),san antonio,tx
drexel ave,philadelphia,pa
shrewsbury riverfront,long branch,nj
neighborhood dev proj,texarkana,tx
interim asst prog,newark,nj
tioga dis area,tioga borough,pa
harney st,elizabeth city,nc
northeastern a and m college exp,miami,ok
smith park (fs),saint paul,mn
city u r area,los fresnos,tx
plymouth dis area,plymouth borough,pa
oliver plaza,duquesne,pa
freshwater pond,enfield,ct
interim asst prog,new york,ny
neighborhood dev prog,hammond,in
g n r p area (gn),buchanan,mi
choffin park,youngstown,oh
bethel court,chester,pa
queensgate no 3,cincinnati,oh
eynon,scranton,pa
east central (gn),freeport,ny
neighborhood dev prog,hackensack,nj
east crystal no 2,crystal city,tx
rapid creek flood dis,rapid city,sd
highland ave,spartanburg,sc
central bus dist,saint clair,mi
new town no 1,grand prairie,tx
demolition project,camden,nj
penn station south,new york,ny
hayti-elizabth st (gn),durham,nc
bedford-pine,atlanta,ga
garfield-lasalle,chicago,il
community renewal prog,tulsa,ok
south madison,madison,wi
seward area,seward,ak
mid-village,lindenhurst,ny
neighborhood dev prog,chesapeake,va
neighborhood dev prog,east cleveland,oh
neighborhood dev prog,ashland,al
cumberland,greensboro,nc
poplar st,wilmington,de
kosoiusko,saint louis,mo
champlain st,burlington,vt
corlears hook,new york,ny
church-musser,lancaster,pa
community renewal prog,bristol twp,pa
east liberty sec. a,pittsburgh,pa
neighborhood dev prog,greenville,sc
port richmond,philadelphia,pa
savin rock no 3,west haven,ct
demolition project,harrisburg,pa
general hospital,wheeling,wv
west crystal city (gn),crystal city,tx
southeastern no 2,douglas,ga
demonstration project,douglas,ga
area no 4,chelsea,ma
dickerson st,dover,nj
certified area prog,fitchburg,ma
liberty st,hazard,ky
russell court,long branch,nj
neighborhood dev prog,lansing,mi
redevelopment area 3,fall river,ma
cathedral (gn),saint paul,mn
neighborhood dev prog,laurinburg,nc
spring valley,saratoga springs,ny
central cullman,cullman,al
court house square,saint joseph,mi
central bus dist-east,sioux city,ia
west lumberton,lumberton,nc
triangle,charleston,wv
retreat st,greensboro,nc
community renewal prog,colorado springs,co
community renewal prog,wyoming,mi
interim asst prog,gulfport,ms
central (gn),independence,mo
neighborhood dev proj,ansonia,ct
demonstration project,dyersburg,tn
code enforcement proj,menlo park,ca
neighborhood dev prog,richmond,va
bow st,elkton,md
neighborhood dev prog,oxnard,ca
community renewal project,cambridge,ma
south san gabriel riv,georgetown,tx
central bus dist,saint johns,mi
community renewal prog,washington,pa
demolition project,mckeesport,pa
essex heights,newark,nj
demolition project,baltimore,md
custom house,monterey,ca
demolition project,wilmington,de
neighborhood dev prog,dickson,tn
community renewal prog,ogden,ut
suislaw harbor,florence,or
code enforcement project,omaha,ne
buffalo valley (gn),schertz,tx
riverfront,shreveport,la
north side,brinkley,ar
chestnut-forrest st,aberdeen,ms
higbee,lancaster,pa
bronxchester,new york,ny
demonstration project,orono,me
weaver,portsmouth,va
west middlesex plaza,west middlesex,pa
code enforcement proj,gary,in
waterfront,cordova,ak
project no 1,freeport,ny
demolition project,little rock,ar
neighborhood dev prog,chicago,il
gransey square,rock island,il
northeast model ngh,savannah,ga
project no 1,paterson,nj
bever-south,wooster,oh
neighborhood dev prog,mound bayou,ms
midtown,waverly,tn
broadway east,kingston,ny
neighborhood dev prog,peekskill,ny
neighborhood dev prog,newport,ar
downtown,rochester,mn
dev prog,san juan,pr
downtown dodge city,dodge city,ks
community renewal prog,pottstown,pa
west side (gn),montgomery,al
code enforcement proj,benton harbor,mi
civic rehabilatation,middletown,oh
community renewal prog,lawrence,ma
park st,lewiston,me
main ave,fargo,nd
community renewal prog,meriden,ct
temple-george,new haven,ct
east temple no 1,philadelphia,pa
demolition project,pittsburgh,pa
allison st,bradford,pa
madison park,plainfield,nj
code enforcement proj,carnegie,pa
copper square,new york,ny
queensgate no 1,cincinnati,oh
downtown north (gn),boston,ma
fall st,johnson city,tn
olive-pine sts,saint charles,mo
pioneer (gn),cheyenne,wy
code enforcement proj,bangor,me
broadway,baltimore,md
code enforcement proj,kansas city,mo
cleaver ave,lebanon,ky
old town,glenarden,md
community renewal prog,somerville,ma
code enforcement proj,lake charles,la
clairion state college,clarion,pa
demolition proj,boston,ma
neighborhood dev prog,wichita,ks
neighborhood dev prog,napa,ca
great falls,auburn,me
neighborhood dev prog,wilkes barre,pa
southside a,blytheville,ar
lincoln park (gn),plant city,fl
central renewal proj,suffern,ny
community renewal prog,montclair,nj
neighborhood dev prog,pueblo,co
center city two,cumberland,md
saint anthony east,minneapolis,mn
neighborhood dev prog,south bend,in
orion,edinburg,tx
central englewood,chicago,il
little lehigh (gn),allentown,pa
forty fort dis area,forty fort borough,pa
code enforcement proj,brookline,ma
upper connerton,butler twp,pa
petersburg,scranton,pa
battery st (gn),burlington,vt
c b d fringe no 2,pontiac,mi
lowertown,lockport,ny
golden palm,arkansas pass,tx
mill catherine,poughkeepsie,ny
central,peoria,il
lockhart st,opelika,al
fourth st,fargo,nd
bellefonte ave,lock haven,pa
whitesboro no 1,whitesboro,tx
concord street no 1,south saint paul,mn
pauahi,honolulu,hi
el sapo,yabucoa,pr
project B-2,waterbury,ct
neighborhood dev proj,grand prairie,tx
south second st,steelton,pa
code enforcement proj,hamilton county,oh
community renewal prog,columbus,oh
riverside-amsterdam,new york,ny
spruce st,manchester,nh
north side (gn),mishawaka,in
winnipesaukee river,laconia,nh
interim asst prog,lawton,ok
hueneme project,port hueneme,ca
elmwood park,detroit,mi
southwest (gn),new haven,ct
s e savoy no 1 (fs),savoy,tx
melrose center,melrose,ma
glenwood no 2,winder,ga
main st,melrose,ma
north broad st,livingston,tn
neighborhood dev prog,worcester,ma
san jose (open land),san juan,pr
woodland project 1a,woodland,ca
demolition project,springfield,ma
two bridges,new york,ny
columbia grge ctr,cascade locks,or
central,woodridge,ny
south jackson,jackson,tn
neighborhood dev prog,keokuk,ia
central area (gn),sandusky,oh
downtown area,sanford,me
oldtown,baltimore,md
fort sam houston,san antonio,tx
riverside,evansville,in
sun area (fs),sundown,tx
southeast loop,rochester,ny
river glen,farmington,ct
project b,troy,ny
water st,chambersburg,pa
central bus area,lapeer,mi
crystal no 1,crystal city,tx
community renewal prog,virgin islands,vi
community renewal prog,fresno,ca
grandview,keansburg,nj
neighborhood dev prog,scottsdale,az
central,mount vernon,ny
downtown plaza,farrell,pa
code enforcement proj,utica,ny
neighborhood dev prog,pittsfield,ma
san lorenzo park,santa cruz,ca
north argonne,north chicago,il
westbank,tulsa,ok
central core-north,grand rapids,mi
northwest quadrant,vineland,nj
floral acres,opelika,al
neighborhood dev prog,maryville,tn
cambria city b-2,johnstown,pa
neighborhood dev prog,walseneure,co
code enforcement proj,camden,nj
houghton ur area,cambridge,ma
neighborhood dev prog,wellington,co
neighborhood dev prog,albuquerque,nm
middletown dis area,middletown bor,pa
community renewal prog,fayetteville,ar
summer street,lynn,ma
6d segment,chicago,il
gadsby,alexandria,va
neighborhood dev prog,willmar,mn
lincoln ave,east stroudsburg,pa
shaws cove (gn),new london,ct
cameron,cameron,tx
community renewal prog,toledo,oh
project no 2,cordele,ga
dunlap,brownsville,pa
demolition project,carbondale,pa
code enforcement proj,turtle creek,pa
neighborhood dev prog,west plains,mo
el embalse,san juan,pr
neighborhood dev prog,hamilton,oh
neighborhood dev prog,niagara falls,ny
ottumwa center,ottumwa,ia
indian basin indus pk,san francisco,ca
civic center,greenville,ms
uptown,kingston,ny
la puntilla,san juan,pr
state st,perth amboy,nj
neighborhood dev prog,boise,id
thomas a edison,west orange,nj
code enforcement proj,irvington,nj
university (gn),youngstown,oh
central classical,providence,ri
downtown no 1,hammond,in
morrison hill,hartsville,tn
mount royal-fremont no 2,baltimore,md
code enforcement proj,brattleboro,vt
neighborhood dev prog,waco,tx
hayti-elizabth st no 2,durham,nc
glenn village,wichita,ks
interim asst prog,plymouth borough,pa
goldens bridge,lewisboro,ny
minersville st,pottsville,pa
independence mall no 4,philadelphia,pa
project l,huntington,wv
vista alegre,bayamon,pr
parkview,huntsville,al
homewood north,pittsburgh,pa
jefferson-riverdale,yonkers,ny
mcdonald-parce,east rochester,ny
old pueblo distict,tucson,az
bahia vista indus ctr,national city,ca
villa mora,las cruces,nm
athens dis area,athens bor,pa
mainbird,birdsboro,pa
willards alley,catskill,ny
noche buena,seaside,ca
central business dist,birmingham,al
code enforcement proj,baltimore,md
neighborhood dev prog,jonesboro,ar
code enforcement proj,wilmington,de
pratt institute,new york,ny
central bus dist,lafollette,tn
neighborhood dev prog,dayton,ky
demolition project,chester,pa
north side,bristol,ct
central bus dist no 3,detroit,mi
granbrook park,east granby,ct
central tech,scranton,pa
demolition project,san antonio,tx
jefferson (gn),clawson,mi
dilworth,charlotte,nc
community renewal prog,tuscon,ar
downtown (fs),lithonia,ga
franklin st,covington,ky
downtown,aberdeen,ms
town fork creek,kansas city,mo
chinatown gn,honolulu,hi
south port isabel (gn),port isabel,tx
downtown no 1,oxnard,ca
old third ward,newark,nj
near north side,minneapolis,mn
northside (gn),waycross,ga
neighborhood dev prog,salt lake city,ut
downtown,le sueur,mn
code enforcement proj,norfolk,va
demonstration project,san francisco,ca
highland hills (gn),greeneville,tn
avondale-corryville (gn),cincinnati,oh
no 1 ura,orange,tx
neighborhood dev prog,scottsdale,ar
packer ave,bethlehem,pa
pineford,middletown bcro,pa
community renewal prog,franklin,pa
neighborhood dev prog,allentown,pa
stanley st,new britain,ct
newport west (fs),newport,ky
washington st,new york,ny
s e sheffield area no 1,sheffield,al
center city,dayton,tn
code enforcement proj,pittsburgh,pa
south st no 2,warren,oh
mckean ave,charleroi,pa
borough center (gn),south plainfield,nj
renovation study (fs),reno,nv
community renewal prog,grand rapids,mi
west cbd,west frankfort,il
harrison ave,minneapolis,mn
"ur area 1a, 1b",holyoke,ma
demonstartion proj,athens,ga
hill st,frederiksted,vi
south-norwalk no 1,norwalk,ct
kimball ave,roanoke,va
southwest annex,wayne,mi
downtown,glen cove,ny
northeast neighborhood,champign,il
northeast area (gn),champign,il
la casita,clovis,nm
central loop (gn),nashville,tn
south-east (gn),augusta,ga
mayfair one,san jose,ca
code enforcement proj,monessen,pa
smedley,chester,pa
south terminal,new bedford,ma
nine mile-van dyke,warren,mi
demolition project,kansas city,mo
meadowbrook park,san bernardino,ca
salvation army,philadelphia,pa
central sheboygan gn,sheboygan,wi
project no 2 (fs),junction city,ar
code enforcement proj,saginaw,mi
westchester,anchorage,ak
eastern,saint paul,mn
demolition project,pottsville,pa
downtown no 1,corning,ny
swoyersville dis area,swoyersville,pa
university ur area,vincennes,in
demolition project,gary,in
community renewal prog,atlanta,ga
east end,washington,nc
capitol mall,sacramento,ca
central miami gnr area,miami,fl
neighborhood dev prog,corinth,ms
east walnut st,dickson,tn
first northside,russellville,ar
old dominion college,norfolk,va
neighborhood dev prog,batesville,ms
governmental center,monroe,nc
demonstration project,storrs,ct
wayne-beverly no 1,romulus twp,mi
canonsburg area (gn),canonsburg,pa
neighborhood dev prog,carbondale,il
east haven center,east haven,ct
indian trail no 1 (gn),jefferson county,ky
south exchange st,geneva,ny
community renewal prog,waukegan,il
civic center (fs),lacrosse,wi
holladay ngh no 1,tuscon,ar
brunswick-king,boston,ma
west view (gn),poughkeepsie,ny
neighborhood dev prog,middletown bor,pa
brooklyn sec 3,charlotte,nc
gateway,oil city,pa
neighborhood dev prog,newton,ks
neighborhood dev prog,sacramento,ca
east harriman,harriman,tn
community renewal prog,saint joseph,mo
community renewal prog,lorain,oh
morningside,eufaula,al
washington ave,east point,ga
berean,philadelphia,pa
neighborhood dev prog,edmond,ok
west underpass,mexico,mo
central bus dist,north wilkesboro,nc
east main st,plymouth borough,pa
greater meadville industrial area,meadville,pa
santa rosa,san german,pr
neighborhood dev prog,poughkeepsie,ny
central parking,gouverneur,ny
central city (gn),binghamton,ny
grammercy park,new york,ny
saint benedicts,newark,nj
community renewal prog,leavenworth,ks
lacy hills,crockett,tx
park ridge,ypsilanti,mi
englewood,chicago,il
villa sites,evansville,in
neighborhood dev prog,cleveland,oh
code enforcement proj,new bedford,ma
southside no 1,mount vernon,ny
south port isabel no 1,port isabel,tx
interim asst prog,los angeles county,ca
milbank-frawley circle,new york,ny
demolition project,fall river,ma
neighborhood dev prog,elmira heights,ny
downtown business area,rockville,ct
steelton dis area,steelton,pa
code enforcement proj,lynn,ma
downtown,vandergrift,pa
lincoln-amsterdam,new york,ny
south auditorium,portland,or
demolition project,los angeles,ca
beacon hill (gn),decatur,ga
edgemont ur area,susqhehanna twp,pa
community college,mount vernon,il
north allen (w poplar),philadelphia,pa
25th-south parkway,chicago,il
neighborhood dev prog,san jose,ca
laurel- 3 richmond 1,cincinnati,oh
embarcadero-lower mkt,san francisco,ca
hinano,honolulu,hi
keyway,topeka,ks
sumner co fs,sumner,wa
east pasco no 1,pasco,wa
university no 2,youngstown,oh
washington pk conserv,richmond,va
morgan community tract,rio vista,ca
stadium,pittsburgh,pa
central district no 1,boise,id
highland hills no 1,greeneville,tn
wood hill,bloomington,il
yolo river front,broderick,ca
community renewal prog,denver,co
east church st,mobile,al
central,stanton,tx
hayti-elizabth st 6a,durham,nc
demonstration project,oakland,ca
west broadway,providence,ri
homeworth,painesville,oh
neighborhood dev prog,charleston,sc
hahn st,aberdeen,ms
trinity-saint marys,kansas city,mo
community renewal prog,honolulu county,hi
long wharf-market,newport,ri
arvada central proj,arvada,co
orienta park (fs),wichita,ks
neighborhood dev prog,mason city,ia
southside ngh (gn),blytheville,ar
neighborhood dev prog,newhurgh,ny
cape fear drive (fs),wilmington,nc
central bus area,lockport,ny
community renewal prog,decatur,il
opportunity park,rochester,mn
6b - south central,chicago,il
south alamo,marshall,tx
university site,akron,oh
demolition project,donora,pa
northside (gn),palaika,fl
attucks,kansas city,mo
catano (open land),catano,pr
roosevelt school,toledo,oh
harborview plaza,lacrosse,wi
north central,marshall,tx
project no 1,newport news,va
neighborhood dev prog,texarkana,ar
southwest temple 3,philadelphia,pa
parkside west,bowling green,ky
riverview,cambridge,ma
neighborhood dev prog,lebanon,oh
southwest acres,searcy,ar
washington-dodd,orange,nj
neighborhood dev prog,clanton,al
high st,little rock,ar
southeast no 1,gainesville,ga
desoto-carr,saint louis,mo
jewell st,battle creek,mi
demolition project,trenton,nj
east smethport dis,keating twp,pa
certified area prog,long beach,ms
holden callahan gnr area,orlando,fl
community renewal prog,romulus twp,mi
neighborhood dev prog,saint louis,mo
demonstration project,fresno,ca
interim asst prog,washington,dc
the bottoms ur area,mayfield,ky
west poplar,philadelphia,pa
illinois inst of tech,chicago,il
southwest temple a,philadelphia,pa
john h wilson,honolulu,hi
riverfront north no 1,bay city,mi
demolition project,philadelphia,pa
boise cent dist no 1,boise,id
neighborhood dev prog,la junta,co
progress,jefferson city,mo
commercial st,springfield,mo
albert st,aberdeen,ms
osceola gnrp gn,osceola,ar
civic center,rock hill,sc
manzo ngh no 1,tuscon,ar
southside (gn),mount vernon,ny
essex,rahway,nj
university-hospital,cookeville,tn
interim asst prog,new haven,ct
yale ave ur area,knoxville,tn
donnelly field,cambridge,ma
pleasure ave,sea isle city,nj
connerton village,connerton,pa
grande,johnson city,tn
downtown dis area,wilkes barre,pa
southside (gn),glasgow,ky
west end,danville,va
lindsay park,new york,ny
neighborhood dev proj,harford,ct
cherry st,reading,pa
6a area,chicago,il
demolition project,superior,wi
neighborhood dev prog,sioux city,ia
code enforcement proj,tucson,az
neighborhood dev prog,meridian,ms
neighborhood dev prog,louisville,ky
demolition project,ferndale,mi
west river,providence,ri
community renewal prog,muskogee,ok
wilmerding (gn),wilmerding,pa
central ave,fort dodge,ia
doyle area,flint,mi
community renewal prog,newton,nj
south port isabel no 2,port isabel,tx
interim asst prog,boston,ma
east end (gn),little rock,ar
downtown no 1,huntington,wv
central pittston,pittston,pa
central bus dist (fs),sylacauga,al
california state college,california,pa
west side industrial,chicago,il
neighborhood dev prog,evansdale,ia
certified area prog,montclair,nj
hilton indus-stage 2,ferndale,mi
fs area (fs),port chester,ny
big springs ave,tullahoma,tn
progress,adams,ma
southeastern no 1,salisbury,nc
broad st-canal no 2,savannah,ga
riverfront north,bay city,mi
strawberry mansn (gn),philadelphia,pa
neighborhood dev prog,milton,pa
project no 1,schenectady,ny
madison school,las vegas,nv
central lubbock,lubbock,tx
john f kennedy,oklahoma city,ok
wood-burbank,norwalk,ct
miami-maple,dayton,oh
happy top,dalton,ga
code enforcement proj,buffalo,ny
robert ave,hazel park,mi
east side (gn),springfield,il
downtown-south,norfolk,va
chateau st west,pittsburgh,pa
area #1,fort smith,ar
garden-union-allen,lawrence,ma
university ur area,tuscaloosa,al
kish creek dis area,lewistown,pa
kisco ave,mount kisco,ny
liberty st,chesapeake,va
south milwaukee center,south milwaukee,wi
code enforcement proj,titusville,fl
community renewal prog,evansville,in
certified area prog,columbus,oh
southeast englewood,chicago,il
pringle creek,salem,or
third ward,rochester,ny
wolfe st,harrisonburg,va
capital city east (gn),austin,tx
college park,grand rapids,mi
eastside-a,milwaukee,wi
neighborhood dev prog,fond du lac,wi
tobie grant no 1,dekalb county,ga
washingtonville ur area,washingtonville,ny
south jackson (gn),jackson,tn
baylor (fs),waco,tx
hillside,milwaukee,wi
project B-2 ext,waterbury,ct
civic center,hot springs,ar
seward east,minneapolis,mn
interim asst prog,swoyersville,pa
barnette,fairbanks,ak
vernon central (gn),los angeles,ca
east central,worcester,ma
community renewal prog,hoboken,nj
lehigh-washington st,easton,pa
agnes,corning,ny
florence state college,florence,al
george st,cumberland,md
downtown (gn),saint cloud,mn
market st,lynn,ma
certified asst prog,waveland,ms
sample st,south bend,in
triangle block,syracuse,ny
disaster redev proj,charles city,ia
neighborhood dev prog,rock hill,sc
second northside,russellville,ar
central business,newburyport,ma
community renewal prog,martins ferry,oh
paki,honolulu,hi
trumbull st,harford,ct
code enforcement proj,kingsport,tn
central business dist,cordele,ga
demolition project,milwaukee,wi
marina view,pittsburg,ca
rondout (gn),kingston,ny
mudtown,alexandria,va
rosa st (gn),picayune,ms
newburgh (fs),newhurgh,ny
pulaski,gary,in
jacobs brook,penn yan,ny
neighborhood dev prog,chester twp,pa
perry park no 1,brunswick,ga
stow-chenango,binghamton,ny
downtown village,hamburg,ny
second ave-civic ctr,decatur,al
milton dis area,milton,pa
demolition project,highland park,mi
neighborhood dev prog,coos bay,or
demonstration project,chattanooga,tn
community renewal prog,san francisco,ca
ice house,union city,nj
dover green west,dover,de
state st,bristol,tn
dunbar,little rock,ar
queen emma,honolulu,hi
pitman-tenth st,west point,ga
southside (gn),north adams,ma
community renewal prog,akron,oh
mid-city,hearne,tx
interim asst prog,providence,ri
university medical ctr,oklahoma city,ok
broad st development,murfreesboro,tn
riverfront,reading,pa
g n r p (gn),mckeesport,pa
university city no 4,philadelphia,pa
original town site,grand prairie,tx
lake meadows,chicago,il
central,amsterdam,ny
turrot dis area,northumberland,pa
neighborhood dev prog,jackson,ms
kapahulu (gn),honolulu,hi
neighborhood dev prog,anaconda,mt
project area no. 1,easton,pa
university (gn),louisville,ky
garden valley,cleveland,oh
yesler-atlantic,seattle,wa
bluefield ave,bluefield,wv
the hub,rochester,pa
northeast,carrollton,ga
machuelito,ponce,pr
fifteenth st,merced,ca
pueblo center,tucson,az
ensley no 1,birmingham,al
central bus area,cuyahoga falls,oh
area no 1,cairo,il
downtown winona (gn),winona,mn
code enforcement proj,austin,tx
community center (gn),michigan city,in
neighborhood dev prog,highland park,mi
cambridgeport,cambridge,ma
waterfront (fs),ketchikan,ak
riverside central,jeffersonville,in
community renewal prog,bethlehem,pa
neighborhood dev prog,tampaqua,pa
oak st,new haven,ct
neighborhood dev prog,greeley,co
neighborhood dev prog,rapid city,sd
beacon no 1,beacon,ny
mercer st,hightstown,nj
south park,canton,il
varsovia,sabana grande,pr
civic center,cedar rapids,ia
community renewal project,portsmouth,nh
southwest c-1,washington,dc
code enforcement proj,marietta,ga
southside,north adams,ma
neighborhood dev prog,moultrie,ga
neighborhood dev prog,reedsport,or
jeferson street,poughkeepsie,ny
downtown area (fs),washington,dc
union ave,pueblo,co
coney island west,new york,ny
south livingston,livingston,al
minnesota river (gn),mankato,mn
medical center (gn),detroit,mi
near eastside,syracuse,ny
alewife brook pk (fs),cambridge,ma
university park,little rock,ar
neighborhood dev prog,washington,ga
reily st,harrisburg,pa
northwest no 1,washington,dc
court st,batavia,ny
hilton industrial,ferndale,mi
south end (gn),little rock,ar
code enforcement proj,luling,tx
neighborhood dev prog,milwaukee,wi
fiesta city ctr (gn),montevideo,mn
glen cove (gn),glen cove,ny
code enforcement proj,atlantic city,nj
community renewal prog,inglewood,ca
west hampton 1,hampton,va
neighborhood dev prog,lebanon,pa
morton,philadelphia,pa
university-euclid no 1,cleveland,oh
code enforcement proj,lancaster,pa
central downtown,winston-salem,nc
south ninth st,louisville,ky
buckhorn,ironton,oh
community renewal prog,stockton,ca
neighborhood dev prog,fort walton beach,fl
blackhawk heights,rock island,il
potrero,richmond,ca
union street,lynn,ma
downtown portland (gn),portland,me
community renewal prog,charleston,wv
underwood,harford,ct
fourth st,allentown,pa
north flats no 2,sharon,pa
code enforcement proj,new orleaans,la
community renewal prog,port arthur,tx
newtown,waverly,tn
code enforcement proj,jamestown,ny
community renewal prog,elizabeth,nj
central riverfront,cincinnati,oh
brittingham,madison,wi
bluff st,pittsburgh,pa
lincoln ngh (gn),carbondale,il
community renewal prog,seattle,wa
pearl st,manchester,nh
town creek,jasper,al
riverside,blossburg,pa
maple terrance consrvn,laporte,in
oxford,hanover twp,pa
perry-mead,dayton,oh
hiawatha,pipestone,mn
central core area,grand rapids,mi
neighborhood dev prog,stevens point,wi
heart of hunts no 1,huntsville,al
new acres,paris,ky
fountain plaza (gn),coffeyville,ks
code enforcement proj,cincinnati,oh
jefferson st,easton,pa
college ave,clarksville,tn
first ave-east 101 st,new york,ny
marquette neighborhood,muskegon,mi
central bus dist no 1,saginaw,mi
westside indus,detroit,mi
neighborhood dev prog,dayton,tn
southdale,southwest fargo,nd
bank st,athens,tn
community renewal prog,stamford,ct
mon-yough,mckeesport,pa
skyline,wichita,ks
el amparo,san juan,pr
oakmont (gn),norfolk,va
industrial no 1,highland park,mi
southeast camden,camden,ar
buena vista,chester,il
central bus dist no 5,detroit,mi
smoky hollow,raleigh,nc
north end,springfield,ma
model ngh no 1,erie,pa
demolition project,louisville,ky
village,watchung,nj
monterey hills,los angeles,ca
el monte,rio piedras,pr
market st east (gn),philadelphia,pa
bussey st,dedham,ma
community renewal prog,corpus christi,tx
historic hill,newport,ri
glenside center,cheltenham twp,pa
mount hope,providence,ri
orchard st,auburn,ny
university no 1,youngstown,oh
park lane,york,pa
piper brook,west hartford,ct
demolition project,milton,pa
neighborhood dev prog,wellston,mo
montgomery st,jersey city,nj
kukui,honolulu,hi
fort williams,cape elizabeth,me
claysville,paris,ky
elmwood park,saint louis county,mo
hook road no 1,darby twp,pa
interim asst prog,woodlawn,oh
neighborhood dev prog,geauga county,oh
neighborhood dev prog,portland,or
university rosedale,kansas city,ks
key city,mankato,mn
washington ave (gn),scranton,pa
fountain plaza a,coffeyville,ks
neighborhood dev prog,philadelphia,pa
dennison-hunter-hubbard,columbus,oh
water st,newhurgh,ny
interim asst prog,plymouth twp,pa
community renewal prog,new york,ny
north central area,new haven,ct
community renewal prog,sunnyvale,ca
north conoordia,mayaguez,pr
academy st,peekskill,ny
demolition project,hot springs,ar
neighborhood dev prog,trenton,nj
community renewal prog,plainfield,nj
demolition project,saint louis,mo
central no 1,mansfield,oh
code enforcement proj,springfield,il
john fitch way no 3,trenton,nj
centerville-libty pk 1,camden,nj
cbd,greenville,nc
nicetown,philadelphia,pa
neighborhood dev prog,fontana,ca
birmingham st,gadsden,al
neighborhood dev prog,beacon,ny
flood ranch,santa fe springs,ca
clybourn-division,chicago,il
project a,troy,ny
urban renewal project,barnegat light,nj
downtown riverview,benton harbor,mi
community renewal prog,newark,nj
central city south,florence,al
old louisvle no 2 (gn),louisville,ky
newton,greenville,nc
mineral cr (open land),valdez,ak
market st-wall st,maysville,ky
ninth ave,belmar,nj
southwest,douglas,ga
new tacoma,tacoma,wa
demolition project,newhurgh,ny
camp fornance,columbia,sc
community renewal prog,lubbock,tx
code enforcement proj,vallejo,ca
finley st,dyersburg,tn
Redevelopment area no 1,Fairmont,wv
community renewal prog,talladega,al
central city,huntsville,al
west blairsville,blairsville,pa
downtown (gn),lockport,ny
central business district,waterbury,ct
east side,chicago heights,il
code enforcement proj,jeannette,pa
mckees rocks flood dis,mckees rocks,pa
washington st,eufaula,al
west side,norwich,ct
neighborhood dev prog,cedar rapids,ia
downing center,downingtown,pa
distribution ctr no 1,detroit,mi
ogantz center,cheltenham twp,pa
colonial fort plaza,harrisburg,pa
community renewal prog,jacksonville,fl
college (gn),tahlequah,ok
demolition proj,chelsea,ma
opportunity park,akron,oh
mechanic st,boonton,nj
main street,mansfield,pa
valley terrace,aliquippa,pa
belden (gn),jackson,mi
northeast no 1,washington,dc
neighborhood dev prog,clinton,mi
east end,middlesboro,ky
spencer-sharples,lucas county,oh
nor-center no 2,norwood,oh
suffield center,suffield,ct
downtown,burlington,nc
layman hill,athens,tn
neighborhood dev prog,fort lauderdale,fl
downtown,perris,ca
cialitos,cidra,pr
museum of arts ext,columbia,sc
central milton,milton,pa
town center (gn),hull,ma
interim asst proj,long beach,ms
neighborhood dev prog,los angeles,ca
colmar manor,colmar manor,md
feasibility study (fs),haleyville,al
south jackson,jackson,ky
highway 45,corinth,ms
neighborhood dev prog,pontiac,mi
central (gn),cordele,ga
central area (gn),savannah,ga
bower-mosher 1,holyoke,ma
tusnami,crescent city,ca
lippitt hill,providence,ri
northside,kansas city,mo
west fresno no 1,fresno,ca
code enforcement proj,salem,or
east michigan,jackson,mi
central valley-west,fitchburg,ma
pleasant valley,childersburg,al
washington ave,elizabeth,nj
west side,charleston,mo
baden-ormond,rochester,ny
community renewal prog,butte,mt
southside,chisholm,mn
dip,alexandria,va
code enforcement proj,arnold,pa
george st,new brunswick,nj
central business (fs),wixom,mi
westside shopping area,rockingham,nc
port fulton no 1,jeffersonville,in
community renewal prog,richmond,in
center st,middletown,ct
code enforcement proj,san diego,ca
demolition project,detroit,mi
demolition project,cleveland,oh
milton north disaster,milton,pa
community renewal project,utica,ny
eagle rock,idaho falls,id
hanover st,pottstown,pa
old san juan (gn),san juan,pr
community renewal prog,ann arbor,mi
central high,auburn,ny
neighborhood dev prog,fall river,ma
little lehigh no 1,allentown,pa
79th-normal,chicago,il
ironville,toledo,oh
oak-grove,port chester,ny
demolition project,poughkeepsie,ny
neighborhood dev prog,richmond,ca
roosevelt\,milwaukee,wi
central bus dist,rogers city,mi
code enforcement proj,rockville,md
lower broadway dis,nanticoke,pa
bay avenue 1,highlands,nj
rockwood center,rockwood,mi
neighborhood dev prog,port hueneme,ca
neigborhood dev prog,fitchburg,ma
clementon lake,clementon,nj
neighborhood dev proj,danbury,ct
